analysts,coin_name,position,Close Date,Status,R,Net R,PNL,Net PNL
FLASHH,ETHUSDT,long,"January 18, 2026, 1:54 AM",stopped,-1.5,-1.73,-150,-172.76
EmreDeSouza,XRPUSDT,long,"January 18, 2026, 1:54 AM",stopped,-1,-1.04,-100,-103.73
EnginCrypto,GALAUSDT,short,"January 18, 2026, 1:53 AM",success,1.22,1.21,121.56,120.81
KriptoKeman🎻,LINKUSDT,long,"January 18, 2026, 1:05 AM",stopped,0,-0.26,0,-26.39
FLASHH,BTCUSDT,long,"January 18, 2026, 1:05 AM",stopped,-1.5,-1.71,-150,-171.44
muhafizben,SOLUSDT,short,"January 18, 2026, 1:01 AM",success,2,1.89,200,189.22
EnginCrypto,EGLDUSDT,short,"January 18, 2026, 12:04 AM",stopped,-1,-1.01,-100,-101.06
EnginCrypto,ZROUSDT,short,"January 17, 2026, 11:33 PM",stopped,-1,-1.02,-100,-101.81
Awerte,PUMPUSDT,long,"January 17, 2026, 4:49 PM",stopped,-1,-1.01,-100,-100.85
KaanXBT,MOODENGUSDT,long,"January 17, 2026, 4:34 PM",stopped,-1.5,-1.54,-150,-153.58
KriptoKeman🎻,SOLUSDT,long,"January 17, 2026, 4:22 PM",stopped,-1.5,-1.74,-150,-173.72
EnginCrypto,SUSHIUSDT,short,"January 17, 2026, 4:10 PM",stopped,-1,-1.01,-100,-101.25
EnginCrypto,SUSHIUSDT,short,"January 17, 2026, 4:00 PM",stopped,-1.25,-1.27,-125,-126.83
KriptoKeman🎻,LINKUSDT,long,"January 17, 2026, 3:53 PM",success,3.14,3,314.29,299.52
ELAYN,ETHUSDT,long,"January 17, 2026, 3:44 PM",success,1.8,1.75,180.41,174.94
muhafizben,ETHUSDT,long,"January 17, 2026, 3:38 PM",success,2.28,2.22,227.59,222.5
EmreDeSouza,HBARUSDT,short,"January 17, 2026, 2:40 PM",stopped,-0.15641025641026,-0.17012,-15.64,-17.01
barış.ftm,OPUSDT,short,"January 17, 2026, 2:40 PM",stopped,-0.4778325123152705,-0.49,-47.78,-48.55
EnginCrypto,SUSHIUSDT,short,"January 17, 2026, 2:36 PM",stopped,-1,-1.08,-100,-107.51
KriptoKeman🎻,LINKUSDT,short,"January 17, 2026, 1:42 PM",stopped,-1.5,-1.71,-150,-171.08
KriptoKeman🎻,SOLUSDT,long,"January 17, 2026, 11:00 AM",stopped,-1.5,-1.76,-150,-176.3
EnginCrypto,TONUSDT,short,"January 17, 2026, 10:19 AM",success,0.87,0.8405048077,86.54,84.05
Awerte,PUMPUSDT,long,"January 17, 2026, 10:12 AM",stopped,-1.5,-1.51,-150,-151.13
KriptoKeman🎻,SOLUSDT,long,"January 17, 2026, 6:29 AM",stopped,-1.5,-1.73,-150,-172.63
fibonacciOktay,ETHUSDT,long,"January 16, 2026, 10:13 PM",stopped,-1,-1.13,-100,-113.48
KriptoKeman🎻,SOLUSDT,long,"January 16, 2026, 8:30 PM",success,1.7,1.62,170.27,161.54
ELAYN,BNBUSDT,long,"January 16, 2026, 3:33 PM",stopped,-1,-1.05,-100,-105.24
Elmas.618,DOGEUSDT,long,"January 16, 2026, 3:33 PM",stopped,-1.5,-1.52,-150,-151.65
EnginCrypto,TRBUSDT,short,"January 16, 2026, 3:33 PM",success,1.17,1.14,116.67,114.44
Awerte,ETHUSDT,long,"January 16, 2026, 3:33 PM",stopped,-1,-1.06,-100,-105.95
Awerte,BTCUSDT,long,"January 16, 2026, 3:32 PM",stopped,-1,-1.08,-100,-108.31
KriptoKeman🎻,DOGEUSDT,short,"January 16, 2026, 3:19 PM",success,2.3,2.24,230.41,224
NostradamusAkaBerkan,XRPUSDT,long,"January 16, 2026, 1:39 PM",stopped,-1,-1.01,-100,-101.24
ELAYN,ETHUSDT,long,"January 16, 2026, 4:33 AM",stopped,-1,-1.08,-100,-108.27
1coSadcan,ETHUSDT,short,"January 15, 2026, 10:29 PM",stopped,-1,-1.09,-100,-108.51
Takeshi,BTCUSDT,long,"January 15, 2026, 7:31 PM",stopped,-1,-1.05,-100,-105.07
EnginCrypto,BNBUSDT,long,"January 15, 2026, 7:02 PM",stopped,-1,-1.04,-100,-103.58
Doktör Algo Trading,BCHUSDT,long,"January 15, 2026, 5:24 PM",stopped,-1.5,-1.53,-150,-153.09
EnginCrypto,ETHUSDT,short,"January 15, 2026, 4:54 PM",closed,0,-0.01919423076923077,0,-1.92
barış.ftm,UNIUSDT,long,"January 15, 2026, 4:19 PM",stopped,-1.15,-1.16,-114.73,-115.72
NostradamusAkaBerkan,ATOMUSDT,long,"January 15, 2026, 3:25 PM",stopped,-1,-1.02,-100,-101.71
fibonacciOktay,ETHUSDT,long,"January 15, 2026, 2:45 PM",stopped,-1,-1.11,-100,-110.74
EmreDeSouza,BTCUSDT,long,"January 15, 2026, 2:45 PM",stopped,-1,-1.05,-100,-104.73
Takeshi,BTCUSDT,long,"January 15, 2026, 2:45 PM",stopped,-1,-1.06,-100,-105.64
FLASHH,INJUSDT,long,"January 15, 2026, 2:35 PM",stopped,-0.765000000000005,-0.8013150000000052,-76.5,-80.13
FLASHH,DOTUSDT,long,"January 15, 2026, 2:35 PM",stopped,-0.41129032258064,-0.4354814516129021,-41.13,-43.55
NostradamusAkaBerkan,LINKUSDT,long,"January 15, 2026, 2:07 PM",success,1.23,1.2,123.16,119.86
KriptoKeman🎻,SOLUSDT,long,"January 15, 2026, 9:39 AM",success,6.14,6.07,613.64,607.11
KriptoKeman🎻,DOGEUSDT,long,"January 15, 2026, 6:32 AM",stopped,-1.5,-1.71,-150,-171.07
Elmas.618,NEARUSDT,long,"January 15, 2026, 5:55 AM",success,1.75,1.73,175,172.61
EmreDeSouza,XRPUSDT,long,"January 15, 2026, 3:39 AM",stopped,-1.5,-1.53,-150,-153.06
EnginCrypto,ARBUSDT,long,"January 15, 2026, 3:18 AM",stopped,-1,-1.02,-100,-101.79
EnginCrypto,WIFUSDT,long,"January 15, 2026, 2:48 AM",stopped,-1,-1.01,-100,-100.94
NostradamusAkaBerkan,DOTUSDT,long,"January 15, 2026, 2:15 AM",stopped,-1,-1.02,-100,-102.41
EnginCrypto,XAUTUSDT,short,"January 15, 2026, 1:31 AM",success,1.75,1.68,175,168.06
EnginCrypto,AXSUSDT,long,"January 15, 2026, 12:11 AM",stopped,-1,-1.01,-100,-100.67
EnginCrypto,AXSUSDT,long,"January 15, 2026, 12:03 AM",stopped,-1,-1.01,-100,-100.66
fibonacciOktay,BTCUSDT,short,"January 14, 2026, 8:11 PM",stopped,-1,-1.06,-100,-105.91
KriptoKeman🎻,DOGEUSDT,long,"January 14, 2026, 8:07 PM",success,1.95,1.84,195,183.92
muhafizben,AVAXUSDT,long,"January 14, 2026, 6:45 PM",stopped,-1,-1.09,-100,-108.69
FLASHH,ETHUSDT,short,"January 14, 2026, 6:41 PM",success,0.9423750000000043,0.9139406250000043,94.24,91.39
EnginCrypto,WIFUSDT,long,"January 14, 2026, 6:33 PM",stopped,-1,-1.01,-100,-101.04
EnginCrypto,ONTUSDT,long,"January 14, 2026, 6:16 PM",stopped,-1,-1.03,-100,-102.78
KaanXBT,ETHUSDT,short,"January 14, 2026, 4:33 PM",stopped,-1.5,-1.53,-150,-153.36
KriptoKeman🎻,DOGEUSDT,long,"January 14, 2026, 1:31 PM",stopped,-1.5,-1.59,-150,-159.31
Dou,BTCUSDT,long,"January 14, 2026, 6:33 AM",success,3.76,3.71,375.72,370.92
Doktör Algo Trading,FARTCOINUSDT,short,"January 13, 2026, 10:39 PM",closed,0.014331210191084,0.00720143312102014,1.43,0.720143312102014
EnginCrypto,NEARUSDT,short,"January 13, 2026, 10:10 PM",stopped,-1.25,-1.27,-125,-127.28
EnginCrypto,ALGOUSDT,long,"January 13, 2026, 10:10 PM",success,1.47,1.45,147.06,144.66
FLASHH,BTCUSDT,short,"January 13, 2026, 10:09 PM",stopped,-1.5,-1.63,-150,-162.69
KriptoKeman🎻,SOLUSDT,short,"January 13, 2026, 10:08 PM",stopped,-1.5,-1.59,-150,-158.92
FLASHH,ETHUSDT,short,"January 13, 2026, 10:08 PM",stopped,-1.5,-1.54,-150,-154.32
EnginCrypto,APEUSDT,short,"January 13, 2026, 9:44 PM",stopped,-1,-1.03,-100,-102.7
KriptoKeman🎻,LINKUSDT,short,"January 13, 2026, 8:05 PM",stopped,-1.5,-1.72,-150,-172.02
Elmas.618,AAVEUSDT,long,"January 13, 2026, 7:38 PM",success,6.03,5.99,602.9,598.61
